"STRATEGY","REBAL_FREQ","FORMATION_PERIOD","SHARPE","RET"
"MOM_1",6,9,0.922138536279856,0.181184276632444
"MOM_0",7,9,0.902215717212116,0.179107799818176
"MOM_1",7,9,1.00270883938151,0.192776575411526
"MOM_0",8,9,0.800599240191348,0.165625541158206
"MOM_1",8,9,0.774017121150706,0.155878238137952
"MOM_0",9,9,0.720914772248446,0.145453657499516
"MOM_1",9,9,0.834270887181634,0.16003480112423
"MOM_0",10,9,0.542486411922462,0.113867760854551
"MOM_1",10,9,0.536781429004192,0.117191244807999
"MOM_0",11,9,0.947919394302274,0.197437764458464
"MOM_1",11,9,0.990145888580472,0.202636736075917
"MOM_0",12,9,0.641543055273407,0.140411492554768
"MOM_1",12,9,0.403551295394922,0.0878120952958057
"MOM_0",1,10,0.978873330607504,0.209047600951711
"MOM_1",1,10,1.07440019656239,0.225214508231802
"MOM_0",2,10,0.997077070876024,0.209890835133316
"MOM_1",2,10,1.0954043333534,0.22236897439123
"MOM_0",3,10,0.841660637278392,0.181751173952932
"MOM_1",3,10,0.848835113297887,0.172824764839154
"MOM_0",4,10,0.924311336996556,0.189145445746264
"MOM_1",4,10,1.03318372515196,0.203125659249813
"MOM_0",5,10,0.899315611241346,0.181241805723879
"MOM_1",5,10,0.919405183386739,0.186041043397542
"MOM_0",6,10,0.895436804310026,0.188692688729714
"MOM_1",6,10,1.00156219010838,0.201346091771673
"MOM_0",7,10,0.712958843282182,0.13848728775327
"MOM_1",7,10,0.858643442364052,0.164773934559783
"MOM_0",8,10,0.97280212219209,0.193192533632004
"MOM_1",8,10,0.988443648025207,0.196515920336461
"MOM_0",9,10,0.733008467551718,0.147765424178997
"MOM_1",9,10,0.850644221879551,0.167972511993882
"MOM_0",10,10,0.704542289825664,0.144416696408952
"MOM_1",10,10,0.628056887888648,0.135480149263237
"MOM_0",11,10,1.0653172199325,0.220155089848365
"MOM_1",11,10,1.10629131296667,0.224792810449065
"MOM_0",12,10,0.724262171909289,0.149302361466697
"MOM_1",12,10,0.529316846329773,0.11143934491871
"MOM_0",1,11,1.00448675744741,0.214520752443204
"MOM_1",1,11,1.12177782956289,0.232314130788898
"MOM_0",2,11,0.86856750843428,0.179822365102396
"MOM_1",2,11,0.965816713073512,0.20172907691857
"MOM_0",3,11,0.936133263197381,0.201393740729275
"MOM_1",3,11,1.00206038206152,0.198282856015976
"MOM_0",4,11,0.848349624605578,0.176322662742165
"MOM_1",4,11,0.93095434589704,0.189228932411275
"MOM_0",5,11,0.87782070898608,0.180217961492199
"MOM_1",5,11,0.931814197482917,0.18869429614259
"MOM_0",6,11,0.826711998659577,0.172872927525941
"MOM_1",6,11,0.892366848231509,0.175716608797311
"MOM_0",7,11,0.781314853669651,0.159120911968008
"MOM_1",7,11,0.854103810767016,0.169206097149436
"MOM_0",8,11,0.843824790098254,0.170342349138349
"MOM_1",8,11,0.881287870503345,0.176757393816006
"MOM_0",9,11,0.694113653246459,0.145813227763128
"MOM_1",9,11,0.816520261152261,0.163767070511621
"MOM_0",10,11,0.593357902611867,0.121128241470098
"MOM_1",10,11,0.579420717233119,0.122291803346204
"MOM_0",11,11,0.990894351629705,0.209308466398447
"MOM_1",11,11,1.06220331330385,0.217289219707818
"MOM_0",12,11,0.736432573566301,0.15060693969098
"MOM_1",12,11,0.574716521571586,0.118259607512628
"MOM_0",1,12,0.943948155618748,0.190475838195568
"MOM_1",1,12,1.05048720723598,0.223153764554287
"MOM_0",2,12,0.949766873911262,0.193659540794566
"MOM_1",2,12,1.02748971524771,0.20815333633312
"MOM_0",3,12,0.800605041153892,0.16900495650981
"MOM_1",3,12,0.907553540810297,0.184341605505967
"MOM_0",4,12,0.947670207239791,0.194444923191427
"MOM_1",4,12,0.857769986103367,0.175401044549433
"MOM_0",5,12,0.822443795112772,0.167697961296345
"MOM_1",5,12,0.870638326907394,0.174838481136157
"MOM_0",6,12,0.911966050456783,0.181795064993729
"MOM_1",6,12,0.892592596827246,0.173522923994147
"MOM_0",7,12,0.772887736638587,0.151065308036741
"MOM_1",7,12,0.95427798127294,0.183954911999459
"MOM_0",8,12,0.857792901115598,0.174009947023826
"MOM_1",8,12,0.765570249305739,0.156951518323035
"MOM_0",9,12,0.6244234726569,0.128437588850056
"MOM_1",9,12,0.689109952253567,0.136427123260952
"MOM_0",10,12,0.797409507565915,0.156260105333489
"MOM_1",10,12,0.654913224723205,0.135785029214085
"MOM_0",11,12,0.955922889114333,0.19668793874998
"MOM_1",11,12,0.982895578114432,0.196719464546315
"MOM_0",12,12,0.706973239463606,0.135813585393024
"MOM_1",12,12,0.511278161754759,0.102224937157733
"MOM_0",1,13,0.991070776433304,0.209723367423955
"MOM_1",1,13,1.08704112681378,0.228289827291194
"MOM_0",2,13,0.995504336446158,0.21071706059975
"MOM_1",2,13,1.00761291088674,0.211267762387921
"MOM_0",3,13,0.884118647369658,0.190652808854811
"MOM_1",3,13,0.884106849794381,0.189856116441228
"MOM_0",4,13,0.955707657266131,0.209440860220979
"MOM_1",4,13,0.957474327670537,0.200705338018129
"MOM_0",5,13,0.875224681164145,0.184230860932902
"MOM_1",5,13,0.911377339600458,0.190609769508944
"MOM_0",6,13,0.975751143700387,0.198801934355304
"MOM_1",6,13,0.905747065981947,0.182301763606179
"MOM_0",7,13,0.846041459648421,0.162527765496186
"MOM_1",7,13,0.909347696205478,0.170835015272338
"MOM_0",8,13,0.806052139936325,0.166447811704319
"MOM_1",8,13,0.833980083952504,0.169529807271274
"MOM_0",9,13,0.680393463414933,0.143627546577787
"MOM_1",9,13,0.739198387820011,0.14988735501141
"MOM_0",10,13,0.823646356882079,0.165952241696811
"MOM_1",10,13,0.768668782886639,0.15945240980003
"MOM_0",11,13,0.93939758538651,0.206401176456252
"MOM_1",11,13,0.876847267374286,0.193328829812195
"MOM_0",12,13,0.823445037354108,0.161465677209147
"MOM_1",12,13,0.653266611140864,0.128485342756111
"MOM_0",1,14,1.0692076332799,0.232692105758446
"MOM_1",1,14,0.983218495287993,0.212514829048327
"MOM_0",2,14,0.967468671950404,0.209024556102509
"MOM_1",2,14,1.0300853790488,0.218160322147646
"MOM_0",3,14,0.838226091300339,0.184547292888358
"MOM_1",3,14,0.861887077081002,0.181236817309414
"MOM_0",4,14,1.05489345683603,0.231288996299408
"MOM_1",4,14,1.04923978722794,0.224013511815194
"MOM_0",5,14,0.944468693950315,0.198647189242748
"MOM_1",5,14,0.962133873133539,0.200473546913767
"MOM_0",6,14,0.936895696618983,0.199561837784966
"MOM_1",6,14,0.845969179887569,0.175908676341517
"MOM_0",7,14,0.719220293767109,0.150186948026761
"MOM_1",7,14,0.779217345980336,0.161114207019909
"MOM_0",8,14,0.954493749066686,0.201112920687688
"MOM_1",8,14,0.897683214242593,0.187058125510486
"MOM_0",9,14,0.65526987751949,0.144662262555198
"MOM_1",9,14,0.684290548792215,0.146276435226456
"MOM_0",10,14,0.777765584734568,0.161825414042076
"MOM_1",10,14,0.752681914770992,0.159940632989693
"MOM_0",11,14,0.987301445747571,0.223426808713082
"MOM_1",11,14,0.921471208688076,0.206475521264153
"MOM_0",12,14,0.762623960385606,0.154380013701943
"MOM_1",12,14,0.528454177938978,0.108657994767588
"MOM_0",1,15,0.935737868577583,0.203379957556961
"MOM_1",1,15,1.01415133145611,0.22213290621596
"MOM_0",2,15,0.894830970181103,0.197441930826947
"MOM_1",2,15,1.04835357113376,0.21943758273614
"MOM_0",3,15,0.868755745438388,0.184155043118042
"MOM_1",3,15,0.943556463734037,0.191526365136703
"MOM_0",4,15,0.979991803221763,0.213777070254787
"MOM_1",4,15,1.01273222903779,0.21488517691781
"MOM_0",5,15,0.926351690849156,0.199331609710191
"MOM_1",5,15,0.93444917636915,0.201997888923821
"MOM_0",6,15,0.984211622546114,0.206305006076657
"MOM_1",6,15,1.02903065760821,0.204454660953558
"MOM_0",7,15,0.875142137526578,0.176496565733819
"MOM_1",7,15,0.949918150016908,0.188281641081722
"MOM_0",8,15,0.996873359053842,0.205836600314885
"MOM_1",8,15,0.941779025747627,0.196538588643347
"MOM_0",9,15,0.596195511986405,0.128652180422431
"MOM_1",9,15,0.643008472667277,0.135101562527151
"MOM_0",10,15,0.929381482217719,0.19159331771045
"MOM_1",10,15,0.887975062284182,0.188958548795011
"MOM_0",11,15,0.920489072769832,0.196043717845054
"MOM_1",11,15,0.881557929155506,0.185939741929035
"MOM_0",12,15,0.886406533574202,0.174872121731094
"MOM_1",12,15,0.716791359148831,0.146787843877297
"MOM_0",1,16,0.999160604446213,0.22178346922065
"MOM_1",1,16,1.04321221009545,0.224667254033126
"MOM_0",2,16,0.957504193492807,0.210830037622562
"MOM_1",2,16,0.988014957738354,0.21391071540234
"MOM_0",3,16,0.82642453625598,0.185253052412122
"MOM_1",3,16,0.88729682373898,0.189910269284719
"MOM_0",4,16,0.96651962653976,0.213671918214437
"MOM_1",4,16,0.966498868813067,0.206753769401454
"MOM_0",5,16,0.886207504253404,0.190065017369974
"MOM_1",5,16,0.952480027148921,0.201627885277555
"MOM_0",6,16,0.913244085553159,0.20317899706035
"MOM_1",6,16,0.917188223825055,0.19247507604122
"MOM_0",7,16,0.90634068051626,0.184089150612349
"MOM_1",7,16,0.850205398345421,0.17283259838683
"MOM_0",8,16,0.885102098372187,0.186205183577333
"MOM_1",8,16,0.917138558754948,0.192619430830107
"MOM_0",9,16,0.698984104180068,0.145010888627875
"MOM_1",9,16,0.64310778069725,0.132268106539005
"MOM_0",10,16,0.931080756042924,0.196132653112655
"MOM_1",10,16,0.921939283377249,0.195155968804536
"MOM_0",11,16,0.943653846791911,0.207939156811721
"MOM_1",11,16,0.936802621598325,0.201167766216489
"MOM_0",12,16,0.849932452639329,0.177769912428634
"MOM_1",12,16,0.697929914239823,0.147746038845006
"MOM_0",1,17,0.956662967631236,0.203288118609767
"MOM_1",1,17,1.05236914663978,0.223286860961048
