Date,Quant Model NAV
2011-02-09,269.5232558
2011-02-10,269.8988002
2011-02-11,274.5148158
2011-02-14,282.1773593
2011-02-15,283.6734545
2011-02-16,284.0091384
2011-02-17,288.6358403
2011-02-18,285.8178887
2011-02-21,288.9582901
2011-02-22,284.9227114
2011-02-23,283.3459661
2011-02-24,276.4445325
2011-02-25,277.2896868
2011-02-28,279.1488881
2011-03-01,287.1583348
2011-03-02,287.1583348
2011-03-03,288.6665236
2011-03-04,290.3364449
2011-03-07,287.0457568
2011-03-08,289.332785
2011-03-09,290.7049525
2011-03-10,289.8928129
2011-03-11,286.7875375
2011-03-14,289.0380868
2011-03-15,284.971178
2011-03-16,286.5059016
2011-03-17,284.5934117
2011-03-18,281.2159205
2011-03-21,281.1362093
2011-03-22,283.2643944
2011-03-23,285.076806
2011-03-24,286.362876
2011-03-25,291.7904094
2011-03-28,294.497554
2011-03-29,296.4614066
2011-03-30,298.7163066
2011-03-31,300.5440253
2011-04-01,301.7480438
2011-04-04,305.2127279
2011-04-05,305.4017981
2011-04-06,305.0744998
2011-04-07,305.7077188
2011-04-08,304.5218735
2011-04-11,301.1903146
2011-04-12,301.1903146
2011-04-13,307.1462876
2011-04-14,307.1462876
2011-04-15,303.9925155
2011-04-18,300.6322548
2011-04-19,299.7168071
2011-04-20,305.0604033
2011-04-21,306.8867037
2011-04-22,306.8867037
2011-04-25,306.5287574
2011-04-26,305.3975655
2011-04-27,304.507183
2011-04-28,301.9645268
2011-04-29,300.4318787
2011-05-02,298.4373528
2011-05-03,292.8871035
2011-05-04,288.4768279
2011-05-05,284.3789882
2011-05-06,290.614138
2011-05-09,290.3034207
2011-05-10,289.812446
2011-05-11,291.3541239
2011-05-12,288.2445032
2011-05-13,292.1428581
2011-05-16,289.8660508
2011-05-17,290.4574768
2011-05-18,291.9179179
2011-05-19,291.104402
2011-05-20,293.8576203
2011-05-23,290.536986
2011-05-24,292.028329
2011-05-25,290.0414187
2011-05-26,292.029071
2011-05-27,293.9454503
2011-05-30,296.0116457
2011-05-31,301.0625006
2011-06-01,302.1396761
2011-06-02,300.1425168
2011-06-03,298.2980331
2011-06-06,299.1028316
2011-06-07,299.5401175
2011-06-08,297.5263815
2011-06-09,296.3767673
2011-06-10,295.5644531
2011-06-13,295.7368509
2011-06-14,297.2323227
2011-06-15,295.8280171
2011-06-16,293.9103007
2011-06-17,290.9243941
2011-06-20,285.5998466
2011-06-21,287.9021771
2011-06-22,287.1395983
2011-06-23,287.9326663
2011-06-24,295.5631725
2011-06-27,297.6537482
2011-06-28,298.701362
2011-06-29,301.9414432
2011-06-30,304.6101735
2011-07-01,307.4328583
2011-07-04,308.2203664
2011-07-05,308.2267229
2011-07-06,307.7027384
2011-07-07,311.741477
2011-07-08,308.96097
2011-07-11,306.1807791
2011-07-12,302.381528
2011-07-13,304.7729046
2011-07-14,304.4801927
2011-07-15,304.1557151
2011-07-18,304.0376991
2011-07-19,304.7894369
2011-07-20,301.4629028
2011-07-21,300.7578375
2011-07-22,304.8080135
2011-07-25,306.091545
2011-07-26,303.1277991
2011-07-27,302.8536855
2011-07-28,300.2088141
2011-07-29,299.2728427
2011-08-01,299.1912427
2011-08-02,296.5814798
2011-08-03,293.413616
2011-08-04,290.4987986
2011-08-05,285.9905875
2011-08-08,282.2090891
2011-08-09,281.3092369
2011-08-10,286.2727798
2011-08-11,284.989092
2011-08-12,282.5554127
2011-08-15,282.5554127
2011-08-16,280.4613191
2011-08-17,283.4147429
2011-08-18,277.655715
2011-08-19,273.9908106
2011-08-22,276.0931046
2011-08-23,279.5172279
2011-08-24,277.009675
2011-08-25,273.9259909
2011-08-26,271.1769486
2011-08-29,279.8600226
2011-08-30,285.028754
2011-08-31,285.028754
2011-09-01,285.028754
2011-09-02,286.6247437
2011-09-05,287.7451241
2011-09-06,288.9010585
2011-09-07,291.3721621
2011-09-08,291.7085288
2011-09-09,288.5970245
2011-09-12,283.5884441
2011-09-13,284.175274
2011-09-14,289.0371977
2011-09-15,291.2362873
2011-09-16,290.2592276
2011-09-19,288.5947982
2011-09-20,293.4215754
2011-09-21,293.3659761
2011-09-22,283.9616328
2011-09-23,281.20342
2011-09-26,277.5387304
2011-09-27,283.1154291
2011-09-28,281.7788553
2011-09-29,285.067716
2011-09-30,280.9970631
2011-10-03,277.252362
2011-10-04,273.614435
2011-10-05,272.7120528
2011-10-06,272.7120528
2011-10-07,276.0772396
2011-10-10,279.6270822
2011-10-11,280.0105772
2011-10-12,284.5551157
2011-10-13,283.7266302
2011-10-14,286.6436214
2011-10-17,287.0714864
2011-10-18,282.7248835
2011-10-19,286.0673479
2011-10-20,284.7445518
2011-10-21,283.1343256
2011-10-24,285.7639699
2011-10-25,289.9673028
2011-10-26,291.5202852
2011-10-27,291.5202852
2011-10-28,296.1588184
2011-10-31,296.981151
2011-11-01,294.5259205
2011-11-02,293.7128639
2011-11-03,293.5565658
2011-11-04,295.8992913
2011-11-07,295.8992913
2011-11-08,294.1119937
2011-11-09,292.5777375
2011-11-10,292.5777375
2011-11-11,290.3693183
2011-11-14,291.4265686
2011-11-15,287.0589749
2011-11-16,282.8674809
2011-11-17,279.5742427
2011-11-18,280.46974
2011-11-21,275.87273
2011-11-22,276.3381145
2011-11-23,270.6774541
2011-11-24,273.183024
2011-11-25,272.3474556
2011-11-28,277.3504271
2011-11-29,275.8212236
2011-11-30,276.6490668
2011-12-01,280.2722517
2011-12-02,285.6983159
2011-12-05,285.3358327
2011-12-06,285.3358327
2011-12-07,285.6323423
2011-12-08,282.2635988
2011-12-09,278.0322868
2011-12-12,275.0497889
2011-12-13,276.0434911
2011-12-14,274.1885413
2011-12-15,274.423513
2011-12-16,270.5043735
2011-12-19,267.9897929
2011-12-20,264.1612615
2011-12-21,269.5005094
2011-12-22,271.5676155
2011-12-23,270.8529887
2011-12-26,273.3921858
2011-12-27,272.8002038
2011-12-28,270.9429922
2011-12-29,269.8578936
2011-12-30,269.0794704
2012-01-02,267.016858
2012-01-03,272.8478491
2012-01-04,272.1483589
2012-01-05,274.0970211
2012-01-06,272.0207591
2012-01-09,272.0675359
2012-01-10,276.4469242
2012-01-11,277.4817091
2012-01-12,277.0074197
2012-01-13,277.5107535
2012-01-16,277.5370652
2012-01-17,281.2582276
2012-01-18,279.4822359
2012-01-19,282.5985858
2012-01-20,284.6017139
2012-01-23,285.0642795
2012-01-24,287.2088368
2012-01-25,288.8248664
2012-01-26,288.8248664
2012-01-27,290.3622619
