"date","return","n_pos","gross"
2021-07-30,0.0229481267003917,8,0.0279481267003917
2021-08-31,-0.0225157017559029,9,-0.0175157017559029
2021-09-30,-0.00782965569690372,12,-0.00282965569690372
2021-10-29,0.00327061148085118,12,0.00827061148085118
2021-11-30,0.0182679249498999,12,0.0232679249498999
2021-12-31,-0.00618525955199027,12,-0.00118525955199027
2022-01-31,0.0237960126373777,12,0.0287960126373777
2022-02-28,0.0279655694452179,14,0.0329655694452179
2022-03-31,0.0123981689998786,9,0.0173981689998786
2022-04-29,0.019894978318474,13,0.024894978318474
2022-05-31,-0.0483848220117007,14,-0.0433848220117007
2022-06-30,0.00090395808348673,7,0.00590395808348673
2022-07-29,-0.0425105762328248,7,-0.0375105762328248
2022-08-30,-0.0441102633255414,10,-0.0391102633255414
2022-09-30,-0.0267418824469213,11,-0.0217418824469213
2022-10-31,-0.0321551684436546,10,-0.0271551684436546
2022-11-30,-0.0542088525703283,9,-0.0492088525703283
2022-12-30,-0.073128321558211,8,-0.068128321558211
2023-01-31,-0.00517981871408712,6,-0.000179818714087116
2023-02-28,0.0106337560212327,5,0.0156337560212327
2023-03-31,0.00470290196271794,7,0.00970290196271794
2023-04-28,-0.0346703382082914,6,-0.0296703382082914
2023-05-31,-0.020677443853395,8,-0.015677443853395
2023-06-30,-0.0236855398146363,8,-0.0186855398146363
2023-07-31,-0.0385461447349727,9,-0.0335461447349727
2023-08-31,-0.0303306485259722,9,-0.0253306485259722
2023-09-29,0.0134682061524529,9,0.0184682061524529
2023-10-31,-0.0131993997089635,9,-0.00819939970896351
2023-11-30,-0.0318756065419761,10,-0.0268756065419761
2023-12-29,-0.0297293185672428,8,-0.0247293185672428
2024-01-31,-0.04950408801278,9,-0.04450408801278
2024-02-29,0.0305310557047936,11,0.0355310557047936
2024-03-28,-0.00795696524256964,11,-0.00295696524256964
2024-04-30,-0.0171671359381723,12,-0.0121671359381723
2024-05-31,0.0146375461665964,13,0.0196375461665964
2024-06-28,0.00269979721684395,12,0.00769979721684395
2024-07-31,-0.0536731301484421,10,-0.0486731301484421
2024-08-30,-0.0385594803530608,8,-0.0335594803530608
2024-09-30,-0.012949334518169,8,-0.00794933451816896
2024-10-31,-0.0173671611123257,7,-0.0123671611123257
2024-11-29,-0.0366120550272007,7,-0.0316120550272007
2024-12-31,-0.0289250367487226,11,-0.0239250367487226
2025-01-31,-0.0175436077603317,9,-0.0125436077603317
2025-02-28,0.0686783940600216,8,0.0736783940600216
2025-03-28,0.0275170876059526,11,0.0325170876059526
2025-04-30,0.0296350482535336,9,0.0346350482535336
2025-05-30,-0.0293003860549636,7,-0.0243003860549636
2025-06-30,-0.068397134624291,9,-0.063397134624291
2025-07-31,0.0517453192910777,8,0.0567453192910777
2025-08-29,0.0343079997854174,7,0.0393079997854174
2025-09-30,0.0474070077634604,8,0.0524070077634604
2025-10-31,-0.0216538116188913,6,-0.0166538116188913
2025-11-28,0.00742903370956394,5,0.0124290337095639
2025-12-31,0.00136383415600769,3,0.00636383415600769
2026-01-30,-0.00587818438745083,4,-0.00087818438745083
2026-02-27,0.0433097049833021,4,0.0483097049833021
2026-03-30,0.0441375073787859,4,0.0491375073787859
2026-04-30,-0.0104985092744275,5,-0.00549850927442754
2026-05-29,-0.0374131206063432,8,-0.0324131206063432
2026-06-30,0.042316112303254,5,0.047316112303254
2026-07-17,0.0151007526188564,6,0.0201007526188564
