IndexName,URL,FactsheetURL,BaseDate,LaunchDate,FundName,SchemeCode,FundStartDate,MatchScore,TotalAUM_Cr,IndexSchemeCount,AUM_Period
NIFTY INFRASTRUCTURE,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-infrastructure,https://www.niftyindices.com/Factsheet/ind_nifty_infra.pdf,2004-01-01,2007-08-07,Tata Nifty500 Multicap Infrastructure 50:30:20 Index Fund - Direct Plan - Growth,152595,2024-04-30,114,0.00,0,
NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-india-corporate-group-index---mahindra-group,https://www.niftyindices.com/Factsheet/ind_NIFTY_MAHINDRA_GROUP.pdf,2005-04-01,2015-12-16,NO MATCH,,,0,0.00,0,
NIFTY IPO,https://www.niftyindices.com/indices/equity/thematic-indices/nifty--ipo,https://www.niftyindices.com/Factsheet/Factsheet_NiftyIPO.pdf,2017-01-02,2024-07-19,NO MATCH,,,0,0.00,0,
NIFTY MIDCAP LIQUID 15,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-midcap-liquid-15,https://www.niftyindices.com/Factsheet/Nifty_midcap_liquid_15.pdf,2009-01-01,2014-05-08,NO MATCH,,,0,0.00,0,
Nifty MidSmall India Consumption,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-mid-small-india-consumption,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_MidSmall_Sector_Indices.pdf,2005-04-01,2022-10-11,Motilal Oswal Nifty MidSmall India Consumption Index Fund - Direct Plan- Growth,153025,2024-11-25,126,2088.67,2,2026-03-31
NIFTY MNC,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-mnc,https://www.niftyindices.com/Factsheet/ind_nifty_mnc.pdf,1995-01-02,Not in factsheet,NO MATCH,,,0,0.00,0,
Nifty Mobility,https://www.niftyindices.com/indices/equity/thematic-indices/nifty--mobility,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_Mobility_Total_Returns_Index.pdf,2005-04-01,2021-12-07,NO MATCH,,,0,0.00,0,
NIFTY PSE,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-pse,https://www.niftyindices.com/Factsheet/ind_nifty_pse.pdf,1995-01-02,Not in factsheet,NO MATCH,,,0,0.00,0,
Nifty REITs & InvITs,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-reits-invits,https://www.niftyindices.com/Factsheet/Factsheet_REITs_InvITs.pdf,2019-07-01,2023-04-11,NO MATCH,,,0,0.00,0,
Nifty Rural,https://www.niftyindices.com/indices/equity/thematic-indices/nifty--rural,https://www.niftyindices.com/Factsheet/Factsheet_NiftyRural.pdf,2005-04-01,2024-07-25,NO MATCH,,,0,0.00,0,
