"ticker","st","ed","min_daily_return_val","min_daily_return_date","ret_1","ret_5","ret_10","ret_20","ret_50","ret_100","ret_200"
"JISLJALEQS",2016-01-01,2025-03-11,-0.281019272997146,2019-06-19,0.215735621970491,0.482231314813534,0.30202774245383,0.197964276402953,-0.00761933139302828,-0.390772734286459,-0.760565703431359
"J&KBANK",2016-01-01,2025-03-11,-0.199483816272264,2024-06-04,0.0736982144634284,0.121141962268827,0.118101912095794,0.0549969299060944,0.0269323283704836,-0.0881727214176139,NA
"JKTYRE",2016-01-01,2025-03-11,-0.19906645375261,2020-03-23,0.0203515121771671,0.130804858597632,0.232562419483467,0.441859395129133,0.802328078032023,0.800871112201706,1.42804122446476
"KAMDHENU",2016-01-01,2025-03-11,-0.465627191078762,2022-09-06,0.0498802457565344,0.0808427921829984,0.00585233781110062,-0.0261376653129229,0.609913568676455,1.66736089416502,1.16478183900864
"KANSAINER",2016-01-01,2025-03-11,-0.190231184532324,2020-03-23,0.0382622129780006,0.211528578468773,0.256307123432518,0.317794387828863,0.342522680528778,0.685272245491067,1.03819203709508
"KCPSUGIND",2016-01-01,2025-03-11,-0.199207847521589,2024-02-12,-0.056930563939753,-0.00247426982955878,0.00247426982955834,-0.157178239343375,-0.0123763175611055,0.349011161540505,0.238128597441763
"KECL",2016-01-01,2025-03-11,-0.199332777314429,2016-11-15,-0.0958333333333333,-0.175,-0.0541666666666667,-0.0843749999999998,-0.0406249999999999,-0.11875,0.00312499999999982
"KEI",2016-01-01,2025-03-11,-0.210329528549047,2025-02-27,0.0237075073773361,0.0960970974141808,NA,NA,NA,NA,NA
"KEYFINSERV",2016-01-01,2025-03-11,-0.391948837774686,2020-04-21,0,-0.139372938393363,-0.0557499157772372,0.240418041071091,0.242161729917036,0.313590036909932,1.33561382660107
"KHANDSE",2016-01-01,2025-03-11,-0.242165242165242,2019-02-04,0.0488721804511276,0.0902255639097742,0.120300751879699,0.176691729323308,0.12781954887218,0.0375939849624056,0.0150375939849619
"KICL",2016-01-01,2025-03-11,-0.19998115607481,2020-03-23,-0.0499352255329172,0.0230243787539748,0.244494170297963,0.257036862560358,0.49275703686256,0.699917559769168,0.877164056059357
"KITEX",2016-01-01,2025-03-11,-0.200001939694886,2018-07-04,-0.0446555214761113,-0.0496654018208929,-0.105592396377611,0.0845436250560696,0.034238728526919,-0.0761756397977861,-0.154190963424539
"KRBL",2016-01-01,2025-03-11,-0.199874050538064,2019-07-05,-0.0357986135955183,-0.0658626306330573,-0.206091930317812,-0.0652691788057728,-0.129166263315839,-0.169977650856717,-0.243243698257103
"LINC",2016-01-01,2025-03-11,-0.199874744912176,2020-03-23,-0.177432407333705,0.0665379819045344,0.131517153546127,0.0455272095306321,0.175097508556873,0.29688702273873,0.429312929501976
"LINDEINDIA",2016-01-01,2025-03-11,-0.19997387179762,2019-01-18,0.0873641608138334,-0.0732780025306682,-0.253704096048155,-0.310047054350748,-0.211936346408452,-0.150560523752858,0.0788476499203199
"LTFOODS",2016-01-01,2025-03-11,-0.199507130872483,2020-03-12,0.0404794655138534,0.0218117508351345,0.0311456081744941,0.389401978122749,0.635521058492174,2.557607912491,2.61397131067007
"LUMAXTECH",2016-01-01,2025-03-11,-0.195093107073134,2020-03-12,0.0573318718564644,-0.0957889254258106,-0.260523799528907,-0.0297503828602969,0.0602315041551034,0.43468830896243,0.816429176675453
